ABOUT | Pass=True | ID=122 | Title=درباره من | Slug=%d8%af%d8%b1%d8%a8%d8%a7%d8%b1%d9%87-%d9%85%d9%86 | Score=695 | RunnerUp=0 | Reasons=EXACT_NORMALIZED_URL,EXACT_NORMALIZED_PATH,TITLE_CONTAINS:درباره,SLUG_CONTAINS:درباره,PATH_CONTAINS:درباره,EXACT_TITLE:درباره من,EXACT_SLUG:درباره من,PATH_CONTAINS:درباره من
RESUME | Pass=True | ID=622 | Title=رزومه امیر | Slug=%d8%b1%d8%b2%d9%88%d9%85%d9%87-%d8%a7%d9%85%db%8c%d8%b1 | Score=695 | RunnerUp=0 | Reasons=EXACT_NORMALIZED_URL,EXACT_NORMALIZED_PATH,TITLE_CONTAINS:رزومه,SLUG_CONTAINS:رزومه,PATH_CONTAINS:رزومه,EXACT_TITLE:رزومه امیر,EXACT_SLUG:رزومه امیر,PATH_CONTAINS:رزومه امیر

ABOUT TOP CANDIDATES
ID=122 | Score=695 | Title=درباره من | Slug=%d8%af%d8%b1%d8%a8%d8%a7%d8%b1%d9%87-%d9%85%d9%86 | Link=https://amirmotefaker.ir/%d8%af%d8%b1%d8%a8%d8%a7%d8%b1%d9%87-%d9%85%d9%86/ | Reasons=EXACT_NORMALIZED_URL,EXACT_NORMALIZED_PATH,TITLE_CONTAINS:درباره,SLUG_CONTAINS:درباره,PATH_CONTAINS:درباره,EXACT_TITLE:درباره من,EXACT_SLUG:درباره من,PATH_CONTAINS:درباره من
ID=622 | Score=695 | Title=رزومه امیر | Slug=%d8%b1%d8%b2%d9%88%d9%85%d9%87-%d8%a7%d9%85%db%8c%d8%b1 | Link=https://amirmotefaker.ir/%d8%b1%d8%b2%d9%88%d9%85%d9%87-%d8%a7%d9%85%db%8c%d8%b1/ | Reasons=EXACT_NORMALIZED_URL,EXACT_NORMALIZED_PATH,TITLE_CONTAINS:رزومه,SLUG_CONTAINS:رزومه,PATH_CONTAINS:رزومه,EXACT_TITLE:رزومه امیر,EXACT_SLUG:رزومه امیر,PATH_CONTAINS:رزومه امیر
ID=2 | Score=0 | Title=برگه نمونه | Slug=برگه-نمونه | Link=https://amirmotefaker.ir/برگه-نمونه/ | Reasons=
ID=8 | Score=0 | Title=امیر متفکر | Slug=%d8%a7%d9%85%db%8c%d8%b1-%d9%85%d8%aa%d9%81%da%a9%d8%b1 | Link=https://amirmotefaker.ir/ | Reasons=
ID=122 | Score=0 | Title=درباره من | Slug=%d8%af%d8%b1%d8%a8%d8%a7%d8%b1%d9%87-%d9%85%d9%86 | Link=https://amirmotefaker.ir/%d8%af%d8%b1%d8%a8%d8%a7%d8%b1%d9%87-%d9%85%d9%86/ | Reasons=
ID=162 | Score=0 | Title=تماس با امیر | Slug=%d8%aa%d9%85%d8%a7%d8%b3-%d8%a8%d8%a7-%d8%a7%d9%85%db%8c%d8%b1 | Link=https://amirmotefaker.ir/%d8%aa%d9%85%d8%a7%d8%b3-%d8%a8%d8%a7-%d8%a7%d9%85%db%8c%d8%b1/ | Reasons=
ID=193 | Score=0 | Title=اخبار تکنولوژی | Slug=%d8%a8%d9%84%d8%a7%da%af | Link=https://amirmotefaker.ir/%d8%a8%d9%84%d8%a7%da%af/ | Reasons=
ID=534 | Score=0 | Title=فروشگاه | Slug=%d9%81%d8%b1%d9%88%d8%b4%da%af%d8%a7%d9%87 | Link=https://amirmotefaker.ir/%d9%81%d8%b1%d9%88%d8%b4%da%af%d8%a7%d9%87/ | Reasons=
ID=535 | Score=0 | Title=سبد خرید | Slug=%d8%b3%d8%a8%d8%af-%d8%ae%d8%b1%db%8c%d8%af | Link=https://amirmotefaker.ir/%d8%b3%d8%a8%d8%af-%d8%ae%d8%b1%db%8c%d8%af/ | Reasons=
ID=536 | Score=0 | Title=پرداخت | Slug=%d8%aa%d8%b3%d9%88%db%8c%d9%87-%d8%ad%d8%b3%d8%a7%d8%a8 | Link=https://amirmotefaker.ir/%d8%aa%d8%b3%d9%88%db%8c%d9%87-%d8%ad%d8%b3%d8%a7%d8%a8/ | Reasons=
ID=537 | Score=0 | Title=حساب کاربری من | Slug=my-account | Link=https://amirmotefaker.ir/my-account/ | Reasons=
ID=3643 | Score=0 | Title=بلاگ تست | Slug=%d8%a8%d9%84%d8%a7%da%af-%d8%aa%d8%b3%d8%aa | Link=https://amirmotefaker.ir/%d8%a8%d9%84%d8%a7%da%af-%d8%aa%d8%b3%d8%aa/ | Reasons=
ID=9710 | Score=0 | Title=ورود / ثبت نام | Slug=login-signup | Link=https://amirmotefaker.ir/login-signup/ | Reasons=
ID=9711 | Score=0 | Title=تغییر رمز عبور | Slug=change-password | Link=https://amirmotefaker.ir/change-password/ | Reasons=
ID=9712 | Score=0 | Title=تغییر شماره موبایل | Slug=change-phone | Link=https://amirmotefaker.ir/change-phone/ | Reasons=
